t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999923, Num Errors Improved = 0, DFR =  9.999992e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999924, Num Errors Improved = 0, DFR =  9.999992e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999925, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999926, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999927, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999928, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999929, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999930, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999931, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999932, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999933, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999934, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999935, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999936, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999937, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999938, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999939, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999940, Num Errors Improved = 0, DFR =  9.999993e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999941, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999942, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999943, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
