
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999764, Num Errors Improved = 0, DFR =  9.999976e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999765, Num Errors Improved = 0, DFR =  9.999977e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999766, Num Errors Improved = 0, DFR =  9.999977e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999767, Num Errors Improved = 0, DFR =  9.999977e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999768, Num Errors Improved = 0, DFR =  9.999977e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999769, Num Errors Improved = 0, DFR =  9.999977e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999770, Num Errors Improved = 0, DFR =  9.999977e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999771, Num Errors Improved = 0, DFR =  9.999977e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999772, Num Errors Improved = 0, DFR =  9.999977e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999773, Num Errors Improved = 0, DFR =  9.999977e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999774, Num Errors Improved = 0, DFR =  9.999977e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
